event_id,customer_id,event_ts,event_type,order_id,source
evt_000001,1118.0,2026-07-20T20:02:00+00:00,add_to_cart,,web
evt_000002,1181.0,2026-07-01T18:37:00+00:00,view_product,,ios
evt_000003,1216.0,2026-08-06T11:31:00+00:00,view_product,,web
evt_000004,1007.0,2026-08-01T09:40:00+00:00,purchase,50705,web
evt_000005,1069.0,2026-07-14T09:12:00+00:00,purchase,51179,web
evt_000006,1074.0,2026-07-19T18:10:00+00:00,view_product,,ios
evt_000007,1125.0,2026-07-05T16:30:00+00:00,purchase,50841,web
evt_000008,1066.0,2026-08-05T14:18:00+00:00,add_to_cart,,ios
evt_000009,1069.0,2026-07-09T18:20:00+00:00,view_product,,web
evt_000010,1006.0,2026-07-15T08:31:00+00:00,view_product,,web
evt_000011,1001.0,2026-07-17T06:50:00+00:00,view_product,,web
evt_000012,1100.0,2026-07-11T00:00:00+00:00,view_product,,web
evt_000013,999999.0,bad_ts,purchase,50003,web
evt_000014,1066.0,2026-08-07T19:29:00+00:00,view_product,,android
evt_000015,1054.0,2026-08-02T11:59:00+00:00,view_product,,web
evt_000016,1059.0,2026-07-21T03:58:00+00:00,view_product,,android
evt_000017,1216.0,2026-07-05T23:26:00+00:00,view_product,,web
evt_000018,1147.0,2026-08-02T19:13:00+00:00,add_to_cart,,web
evt_000019,1145.0,2026-07-10T18:08:00+00:00,view_product,,ios
evt_000020,1042.0,2026-08-04T14:53:00+00:00,view_product,,android
evt_000021,1200.0,2026-07-16T00:37:00+00:00,view_product,,web
evt_000022,1044.0,2026-07-20T16:50:00+00:00,add_to_cart,,web
evt_000023,1214.0,2026-07-17T14:15:00+00:00,add_to_cart,,ios
evt_000024,1211.0,2026-07-18T07:36:00+00:00,add_to_cart,,web
evt_000025,1126.0,2026-07-07T06:27:00+00:00,view_product,,ios
evt_000026,1192.0,2026-07-22T00:13:00+00:00,view_product,,android
evt_000027,999999.0,2026-07-16T07:30:00+00:00,add_to_cart,,web
evt_000028,1129.0,2026-08-02T05:08:00+00:00,add_to_cart,,android
evt_000029,1170.0,2026-07-19T03:13:00+00:00,view_product,,web
evt_000030,1131.0,2026-08-06T15:46:00+00:00,checkout_started,,android
evt_000031,1116.0,2026-07-12T06:33:00+00:00,view_product,,android
evt_000032,1074.0,2026-07-13T11:25:00+00:00,view_product,,ios
